trade_date,top_n,cash,holdings_value,equity,turnover,gross_return,net_return,cost,benchmark_return
20231201,10,7.074749280333369e-74,1081658.9622580654,1081658.9622580654,2.515525103047047e-63,0.06827678878423837,0.06827678878423837,1.910277585170065e-60,-0.003810276680746294
20231204,10,0.0,1112187.127378995,1112187.127378995,2.022573858988719,0.030752948227521726,0.02822346616275362,2736.03694522765,-0.006530024436951165
20231205,10,2.0679515313825692e-25,1257976.8387331937,1257976.8387331937,2.34647705021987e-15,0.13108379675079496,0.13108379675079496,3.263783854358148e-12,-0.019039963145978556
20231206,10,9.183549615799121e-41,1219792.8004214999,1219792.8004214999,9.509476921881686e-31,-0.03035353047528755,-0.03035353047528755,1.3926364561833369e-27,0.0015735107396550596
20231207,10,-1.0195788231247695e-56,1273482.6866680763,1273482.6866680763,1.346881575748137e-46,0.044015578898337404,0.044015578898337404,1.5952657134642046e-43,-0.0024460833310291363
20231208,10,-7.368234096731681e-57,1319437.190467142,1319437.190467142,2.2242242148005863e-63,0.036085691843444234,0.036085691843444234,4.956894300428777e-60,0.0024119195267229276
20231211,10,0.0,1274975.1071667853,1274975.1071667853,2.005747245369981,-0.03118932590844936,-0.033697764184299706,3309.726751148295,0.005881225080981878
20231212,10,1.0339757656912846e-25,1335379.4882681707,1335379.4882681707,2.4018570566530096e-15,0.04737691015443768,0.04737691015443768,3.829799847680679e-12,0.0021489390647888573
20231213,10,-9.183549615799121e-41,1393463.0789509793,1393463.0789509793,1.225982731796967e-30,0.04349594343263141,0.04349594343263141,1.9957393226425663e-27,-0.01669135926401366
20231214,10,0.0,1375285.7150997643,1375285.7150997643,1.3348298728090827e-46,-0.013044740205746419,-0.013044740205746419,2.7856154690748558e-43,-0.005235361414765216
20231215,10,0.0,1387777.1696173882,1387777.1696173882,0.0,0.009082806852769298,0.009082806852769298,0.0,-0.0031062983703374902
20231218,10,-5.820766091346741e-11,1477751.6412742324,1477751.6412742324,2.026120584790034,0.06736743248360177,0.06483351479376931,3516.5131196391217,-0.0036468087565426632
20231219,10,3.101927297073854e-25,1542751.8373623597,1542751.8373623597,2.219486590994317e-15,0.043985873047029056,0.043985873047029056,4.1309817621228e-12,0.0014043215498977801
20231220,10,4.5917748078995606e-40,1615041.0766412152,1615041.0766412152,1.3926115650814262e-30,0.04685733474960441,0.04685733474960441,2.5317370671316754e-27,-0.01095937266762037
20231221,10,-4.078315292499078e-56,1361964.61837716,1361964.61837716,3.5062166867249326e-46,-0.15669970375637488,-0.15669970375637488,4.784859991878197e-43,0.010119053142709111
20231222,10,-4.078315292499078e-56,1411945.9436981154,1411945.9436981154,0.0,0.036697961640523635,0.036697961640523635,0.0,0.0019089007922195034
20231225,10,-5.820766091346741e-11,1532909.6692775432,1532909.6692775432,2.003167622943336,0.08817685283694243,0.0856716407021958,3537.2241117586796,0.0030632308292022348
20231226,10,-3.101927297073854e-25,1584014.9287053496,1584014.9287053496,1.999518932121905e-15,0.033338728597029466,0.033338728597029466,3.862387405350879e-12,-0.006769509502574378
20231227,10,0.0,1588249.6148306215,1588249.6148306215,1.4921902243041126e-30,0.002673387762028856,0.002673387762028856,3.111216462792463e-27,0.0034790165105755833
20231228,10,0.0,1615644.2376605973,1615644.2376605973,6.227041110402572e-46,0.0172483107026582,0.0172483107026582,1.236880395839336e-42,0.023433671910189968
20231229,10,0.0,1698820.9722832637,1698820.9722832637,0.0,0.05148208540210786,0.05148208540210786,0.0,0.004852659082688282
20240102,10,-1.1641532182693481e-10,1767215.4871639286,1767215.4871639283,1.983999309481,0.042741229476976894,0.04025998972024736,4215.182135995292,-0.013044671055275736
20240103,10,-1.0339757656912846e-25,1808280.373569652,1808280.373569652,1.8797037110764243e-15,0.02323705666003728,0.02323705666003728,4.212615855708531e-12,-0.0023786952816071683
